1S	Yo acompañaba con el arpa el canto de las lamentaciones.	# Goethe
2F	El miedo es el huevo de la esperanza.	# Camilo José Cela
3L	Andábamos sin buscarnos, pero sabiendo que andábamos para encontrarnos.	# Julio Cortazar
4L	Ven a dormir conmigo: no haremos el amor, él nos hará.	# Julio Cortazar
5S	Uno no es de ninguna parte mientras no tenga un muerto bajo la tierra.	# Gabriel García Márquez
6S	Los años arrugan la piel, pero renunciar al entusiasmo arruga el alma.	# Albert Schweitzer
7F	Temo a un solo enemigo que se llama yo mismo.	# Giovanni Papini
8A	La cólera parecía dominarla y el ardor que ponía en sus preguntas me encantaba.	# Fiodor Dostoievski
9L	¿Te fijaste lo guapa que estaba mistress Erlynne esta noche?	# Oscar Wilde
10L	¡Si V. no me quisiera á mí, no la querría yo á usted!	# Pedro A de Alarcon
11H	Salieron dejando a la familia junto al fuego. Esperaban que llegase de su Banco el señor Lorry y estaban todos tranquilos, gozando de la dicha de verse reunidos.	# Charles Dickens
12F	Enfermedades: intentos de la muerte.	# Jules Renard
13A	De haber sido posible hundirle un puñal en el pecho, creo que lo habría hecho con placer.	# Fiodor Dostoievski
14AL	El odio del contrario es el amor del semejante: el amor de esto es el odio de aquello.	# Giordano Bruno
15H	Desde el momento en que cogí su libro me caí al suelo rodando de risa. Algún día espero leerlo.	# Groucho Marx
16S	Durante los primeros días que estuvo en el asilo lloraba a menudo.	# Albert Camus
17L	María se me acercó entonces y se estrechó contra mí en el agua. Puso su boca contra la mía. Su lengua refrescaba mis labios y rodamos entre las olas durante un momento.	# Albert Camus
18L	Ni Jorge puede enamorarse, ni lo confesaría aunque se enamorara, ni ninguna mujer podría vivir con semejante erizo...	# Pedro A de Alarcon
19H	¡Ah, qué aspecto tan alegre tiene!	# Fiodor Dostoievski
20A	Odio y sólo odio, como montañas.	# José Revueltas
21H	Una felicidad que sólo es ausencia de desdicha es cosa fea.	# Jean Cocteau
22F	¡Ah, qué terrible! ¿Piensas alguna vez en esas tinieblas? ¡Ah, qué miedo tengo de la muerte!, ¡y qué mala es! No me gusta la oscuridad.	# Fiodor Dostoievski
23A	-¿Dónde está el criado que debe responder a la puerta? -empezó a rezongar enojada.	# Lewis Carrol
24FL	El amor ahuyenta el miedo y, recíprocamente el miedo ahuyenta al amor.	# Aldous Huxley
25A	Hemos reivindicado nuestros derechos tanto en los tiempos antiguos como en los modernos de tal manera —observó el sobrino con acento sombrío— que no dudo de que nuestro nombre es uno de los más detestados en Francia.	# Charles Dickens
26L	Cuando su primer viaje, ni una palabra de amor había dicho a Mercedes, pero esta vez le recordó ya cuánto la amaba.	# Alexandre Dumas
27S	Él mismo me contó cómo mi madre murió pocos meses después de nacer yo, y tenía, mientras hablaba, los ojos llenos de lágrimas.	# Oscar Wilde
28F	¡Lo he visto! Aún siento frío hasta en las uñas... el miedo me penetra hasta la médula... ¡Lo he visto!...	# Guy de Maupassant
29LS	Hasta en el cáliz del mejor amor encontrarás amargura.	# Nietzsche
30A	—Bien —continuó Maurice sin observar el terrible efecto que sus palabras producían en la asamblea—, en esa ocasión he probado que soy un buen patriota, que detesto al rey y a sus partidarios.	# Alexandre Dumas
31LS	Mi corazón la busca, y ella no está conmigo.	# Pablo Neruda
32F	No soy más que un espectador prisionero y aterrorizado por todas las cosas que realizo.	# Guy de Maupassant
33S	Pero poco a poco me fui aislando de aquel ruido, mi vaso seguía lleno, y casi me puse triste viendo a aquella hermosa criatura de veinte años beber, hablar como un carretero y reír más cuanto más escandaloso era lo que se decía.	# Alexandre Dumas
34A	El exceso es el veneno de la razón.	# Francisco de Quevedo
35L	Abrí la ventana y el corazón. El sol inundó mi habitación y el amor inundó mi alma.	# Paulo Coelho
36F	Después volví a sentarme delante del cristal trasparente, lleno de asombro y terror.	# Guy de Maupassant
